,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
11,4.8,3.4,1.6,0.2
57,4.9,2.4,3.3,1.0
9,4.9,3.1,1.5,0.1
136,6.3,3.4,5.6,2.4
85,6.0,3.4,4.5,1.6
36,5.5,3.5,1.3,0.2
25,5.0,3.0,1.6,0.2
127,6.1,3.0,4.9,1.8
47,4.6,3.2,1.4,0.2
53,5.5,2.3,4.0,1.3
67,5.8,2.7,4.1,1.0
139,6.9,3.1,5.4,2.1
1,4.9,3.0,1.4,0.2
70,5.9,3.2,4.8,1.8
137,6.4,3.1,5.5,1.8
41,4.5,2.3,1.3,0.3
116,6.5,3.0,5.5,1.8
20,5.4,3.4,1.7,0.2
72,6.3,2.5,4.9,1.5
73,6.1,2.8,4.7,1.2
16,5.4,3.9,1.3,0.4
115,6.4,3.2,5.3,2.3
103,6.3,2.9,5.6,1.8
78,6.0,2.9,4.5,1.5
48,5.3,3.7,1.5,0.2
149,5.9,3.0,5.1,1.8
59,5.2,2.7,3.9,1.4
128,6.4,2.8,5.6,2.1
39,5.1,3.4,1.5,0.2
17,5.1,3.5,1.4,0.3
100,6.3,3.3,6.0,2.5
33,5.5,4.2,1.4,0.2
92,5.8,2.6,4.0,1.2
26,5.0,3.4,1.6,0.4
86,6.7,3.1,4.7,1.5
12,4.8,3.0,1.4,0.1
106,4.9,2.5,4.5,1.7
13,4.3,3.0,1.1,0.1
18,5.7,3.8,1.7,0.3
123,6.3,2.7,4.9,1.8
19,5.1,3.8,1.5,0.3
148,6.2,3.4,5.4,2.3
7,5.0,3.4,1.5,0.2
61,5.9,3.0,4.2,1.5
80,5.5,2.4,3.8,1.1
55,5.7,2.8,4.5,1.3
134,6.1,2.6,5.6,1.4
112,6.8,3.0,5.5,2.1
74,6.4,2.9,4.3,1.3
96,5.7,2.9,4.2,1.3
22,4.6,3.6,1.0,0.2
44,5.1,3.8,1.9,0.4
76,6.8,2.8,4.8,1.4
24,4.8,3.4,1.9,0.2
105,7.6,3.0,6.6,2.1
119,6.0,2.2,5.0,1.5
68,6.2,2.2,4.5,1.5
111,6.4,2.7,5.3,1.9
110,6.5,3.2,5.1,2.0
2,4.7,3.2,1.3,0.2
34,4.9,3.1,1.5,0.2
30,4.8,3.1,1.6,0.2
145,6.7,3.0,5.2,2.3
49,5.0,3.3,1.4,0.2
114,5.8,2.8,5.1,2.4
82,5.8,2.7,3.9,1.2
91,6.1,3.0,4.6,1.4
121,5.6,2.8,4.9,2.0
142,5.8,2.7,5.1,1.9
147,6.5,3.0,5.2,2.0
144,6.7,3.3,5.7,2.5
129,7.2,3.0,5.8,1.6
29,4.7,3.2,1.6,0.2
58,6.6,2.9,4.6,1.3
64,5.6,2.9,3.6,1.3
109,7.2,3.6,6.1,2.5
125,7.2,3.2,6.0,1.8
146,6.3,2.5,5.0,1.9
131,7.9,3.8,6.4,2.0
120,6.9,3.2,5.7,2.3
56,6.3,3.3,4.7,1.6
51,6.4,3.2,4.5,1.5
54,6.5,2.8,4.6,1.5
5,5.4,3.9,1.7,0.4
14,5.8,4.0,1.2,0.2
124,6.7,3.3,5.7,2.1
6,4.6,3.4,1.4,0.3
4,5.0,3.6,1.4,0.2
135,7.7,3.0,6.1,2.3
0,5.1,3.5,1.4,0.2
108,6.7,2.5,5.8,1.8
140,6.7,3.1,5.6,2.4
52,6.9,3.1,4.9,1.5
143,6.8,3.2,5.9,2.3
35,5.0,3.2,1.2,0.2
83,6.0,2.7,5.1,1.6
32,5.2,4.1,1.5,0.1
81,5.5,2.4,3.7,1.0
63,6.1,2.9,4.7,1.4
138,6.0,3.0,4.8,1.8
15,5.7,4.4,1.5,0.4
3,4.6,3.1,1.5,0.2
118,7.7,2.6,6.9,2.3
71,6.1,2.8,4.0,1.3
141,6.9,3.1,5.1,2.3
10,5.4,3.7,1.5,0.2
65,6.7,3.1,4.4,1.4
132,6.4,2.8,5.6,2.2
98,5.1,2.5,3.0,1.1
97,6.2,2.9,4.3,1.3
50,7.0,3.2,4.7,1.4
89,5.5,2.5,4.0,1.3
133,6.3,2.8,5.1,1.5
94,5.6,2.7,4.2,1.3
107,7.3,2.9,6.3,1.8
79,5.7,2.6,3.5,1.0
75,6.6,3.0,4.4,1.4
99,5.7,2.8,4.1,1.3
126,6.2,2.8,4.8,1.8
102,7.1,3.0,5.9,2.1
